1,Gato con Botas 2: El Último Deseo ,100,Comedia,0
2,Spider-Man: Across the Spider-Verse,140,Acción,0
3,¿Qué pasó ayer?,100,Comedia,0
4,Los increíbles,105,Acción,0
5,Your name,112,Romace,0
6,Parasite,132,Drama,0
7,Titanic,194,Romance,0
8,Toy Story,81,Comedia,0
9,El Viaje de Chihiro,125,Aventuras,0
10,A Silent Voice,130,Drama,0
11,Kimetsu no Yaiba: Mugen Ressha-Hen,117,Acción,0
12,Jurassic Park,127,Sci-Fi,0
13,El Rel León,88,Drama,0
14,The Purge: Election Year,105,Sci-Fi,0
15,Jujutsu Kaisen 0,105,Acción,0